company_id,type,rule_id,text,confidence_pct
ABB,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
ABB,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ABB,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ABB,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
ADANIENSOL,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENSOL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIENT,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENT,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
ADANIENT,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
ADANIGREEN,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIGREEN,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIGREEN,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
ADANIPORTS,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPORTS,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
ADANIPOWER,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIPOWER,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPOWER,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPOWER,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
AMBUJACEM,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
AMBUJACEM,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
AMBUJACEM,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
APOLLOHOSP,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
APOLLOHOSP,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
APOLLOHOSP,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
APOLLOHOSP,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
APOLLOHOSP,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
ASIANPAINT,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ASIANPAINT,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
ASIANPAINT,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ASIANPAINT,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
ASIANPAINT,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ASIANPAINT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
ATGL,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ATGL,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ATGL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
ATGL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ATGL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ATGL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
ATGL,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
AXISBANK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
AXISBANK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
AXISBANK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
AXISBANK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
AXISBANK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BAJAJ-AUTO,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BAJAJ-AUTO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJ-AUTO,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
BAJAJ-AUTO,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BAJAJFINSV,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJFINSV,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJFINSV,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
BAJAJFINSV,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJFINSV,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BAJAJHLDNG,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJHLDNG,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJHLDNG,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJHLDNG,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
BAJAJHLDNG,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJHLDNG,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BAJFINANCE,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJFINANCE,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BAJFINANCE,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJFINANCE,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
BAJFINANCE,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJFINANCE,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJFINANCE,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BAJFINANCE,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BANKBARODA,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
BANKBARODA,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BANKBARODA,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
BANKBARODA,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BANKBARODA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BANKBARODA,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BEL,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BEL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BEL,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BHARTIARTL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BHARTIARTL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
BHARTIARTL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BHARTIARTL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BHARTIARTL,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BOSCHLTD,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BOSCHLTD,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BOSCHLTD,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
BOSCHLTD,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BOSCHLTD,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BPCL,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BPCL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
BPCL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BPCL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BPCL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BPCL,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BRITANNIA,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BRITANNIA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
BRITANNIA,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
CANBK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
CANBK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CANBK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
CANBK,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
CANBK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CANBK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
CANBK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
CHOLAFIN,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
CHOLAFIN,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
CHOLAFIN,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CHOLAFIN,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
CHOLAFIN,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CHOLAFIN,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CHOLAFIN,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
CIPLA,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
CIPLA,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
CIPLA,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
CIPLA,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CIPLA,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CIPLA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
CIPLA,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
COALINDIA,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
COALINDIA,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
COALINDIA,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
COALINDIA,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
COALINDIA,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
COALINDIA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
DABUR,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DABUR,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DABUR,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
DIVISLAB,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DIVISLAB,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DIVISLAB,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
DLF,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DLF,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DLF,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
DLF,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
DMART,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
DMART,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
DMART,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DMART,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DMART,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
DMART,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
DRREDDY,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
DRREDDY,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DRREDDY,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
DRREDDY,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
DRREDDY,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DRREDDY,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DRREDDY,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
EICHERMOT,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
EICHERMOT,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
EICHERMOT,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
EICHERMOT,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
EICHERMOT,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
EICHERMOT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
GAIL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
GRASIM,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
GRASIM,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
GRASIM,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
HAL,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HAL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HAL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
HAL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HAL,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
HAL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
HAL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
HAVELLS,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HAVELLS,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
HCLTECH,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HCLTECH,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HCLTECH,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HDFCBANK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
HDFCBANK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HDFCBANK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
HDFCBANK,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
HDFCBANK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
HDFCBANK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
HDFCBANK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
HDFCLIFE,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
HDFCLIFE,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HDFCLIFE,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HDFCLIFE,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
HEROMOTOCO,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HEROMOTOCO,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HEROMOTOCO,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HEROMOTOCO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HINDALCO,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HINDALCO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HINDALCO,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
HINDALCO,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
HINDUNILVR,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HINDUNILVR,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HINDUNILVR,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
HINDUNILVR,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HINDUNILVR,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
HINDUNILVR,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
ICICIBANK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ICICIBANK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ICICIBANK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
ICICIBANK,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
ICICIBANK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ICICIBANK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
ICICIBANK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
ICICIGI,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ICICIGI,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ICICIGI,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ICICIGI,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
ICICIGI,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
ICICIPRULI,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ICICIPRULI,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ICICIPRULI,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ICICIPRULI,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
INDIGO,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
INDIGO,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
INDIGO,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
INDIGO,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
INDIGO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
INDIGO,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
INDIGO,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
INDIGO,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
INDUSINDBK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
INDUSINDBK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
INDUSINDBK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
INDUSINDBK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
INDUSINDBK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
INDUSINDBK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
INFY,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
INFY,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
INFY,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
INFY,pro,8,Consistent dividend yield above 2% backed by positive free cash flow.,88
INFY,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
IOC,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
IOC,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
IOC,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
IOC,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
IOC,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
IOC,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
IRCTC,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
IRCTC,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
IRCTC,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
IRCTC,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,92
IRCTC,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
IRCTC,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
IRCTC,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,87
